pays,code_pays,annee,produit,code_produit,nature,dispo_int,production,importation,exportation,variation_stock
Afghanistan,2,2013,Poissons Eau Douce,2761,animal,2.0,2.0,0.0,,
Afghanistan,2,2013,Riz (Eq Blanchi),2805,végétal,461.0,342.0,119.0,,
Afghanistan,2,2013,Lait - Excl Beurre,2848,animal,2083.0,1835.0,248.0,0.0,
Albanie,3,2012,Blé,2511,végétal,673.0,300.0,377.0,4.0,0.0
Albanie,3,2012,Orge,2513,végétal,18.0,7.0,11.0,0.0,0.0
Albanie,3,2012,Maïs,2514,végétal,411.0,360.0,51.0,0.0,0.0
Albanie,3,2012,Seigle,2515,végétal,4.0,3.0,0.0,0.0,0.0
Albanie,3,2012,Avoine,2516,végétal,27.0,27.0,0.0,,
Albanie,3,2012,Millet,2517,végétal,0.0,,0.0,,
Albanie,3,2012,Sorgho,2518,végétal,0.0,0.0,0.0,,
Albanie,3,2012,"Céréales, Autres",2520,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Pommes de Terre,2531,végétal,251.0,233.0,19.0,1.0,0.0
Albanie,3,2012,Manioc,2532,végétal,0.0,,0.0,,
Albanie,3,2012,Patates douces,2533,végétal,3.0,,4.0,2.0,1.0
Albanie,3,2012,"Racines, Nda",2534,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,"Sucre, betterave",2537,végétal,40.0,40.0,,0.0,0.0
Albanie,3,2012,Sucre Eq Brut,2542,végétal,70.0,4.0,66.0,0.0,0.0
Albanie,3,2012,Edulcorants Autres,2543,végétal,90.0,,92.0,2.0,0.0
Albanie,3,2012,Haricots,2546,végétal,28.0,27.0,4.0,0.0,-2.0
Albanie,3,2012,Pois,2547,végétal,0.0,,0.0,0.0,
Albanie,3,2012,Légumineuses Autres,2549,végétal,3.0,3.0,0.0,0.0,0.0
Albanie,3,2012,Noix,2551,végétal,12.0,12.0,3.0,1.0,-2.0
Albanie,3,2012,Soja,2555,végétal,0.0,0.0,0.0,0.0,
Albanie,3,2012,Arachides Decortiquees,2556,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Graines de tournesol,2557,végétal,2.0,2.0,0.0,0.0,
Albanie,3,2012,Graines Colza/Moutarde,2558,végétal,0.0,,0.0,0.0,
Albanie,3,2012,Graines de coton,2559,végétal,1.0,1.0,0.0,,
Albanie,3,2012,Coco (Incl Coprah),2560,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Sésame,2561,végétal,0.0,,0.0,,
Albanie,3,2012,Palmistes,2562,végétal,0.0,,0.0,0.0,
Albanie,3,2012,Olives,2563,végétal,79.0,108.0,3.0,2.0,-30.0
Albanie,3,2012,"Plantes Oleiferes, Autre",2570,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Huile de Soja,2571,végétal,0.0,0.0,0.0,0.0,
Albanie,3,2012,Huile d'Arachide,2572,végétal,0.0,0.0,0.0,0.0,
Albanie,3,2012,Huile de Tournesol,2573,végétal,33.0,1.0,34.0,2.0,0.0
Albanie,3,2012,Huile de Colza&Moutarde,2574,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Huile Graines de Coton,2575,végétal,0.0,0.0,0.0,,
Albanie,3,2012,Huile de Palmistes,2576,végétal,0.0,,0.0,,0.0
Albanie,3,2012,Huile de Palme,2577,végétal,1.0,,2.0,0.0,0.0
Albanie,3,2012,Huile de Coco,2578,végétal,0.0,,0.0,,
Albanie,3,2012,Huile de Sésame,2579,végétal,0.0,,0.0,0.0,0.0
Albanie,3,2012,Huile d'Olive,2580,végétal,2.0,1.0,2.0,0.0,0.0
Albanie,3,2012,Huile de Germe de Maïs,2582,végétal,1.0,,1.0,0.0,
